,title,link,view,upload_date
22,"Blackpink in Your Area, HANOI 🖤🩷 | 블랙핑크 하노이",https://youtube.com/watch?v=fuqOb6bNX9c&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,3.1만회,2주 전
23,Coachella vlog,https://youtube.com/watch?v=VX6X3HdO__M&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,569만회,1개월 전
24,BTS 블랙핑크도 뛰어넘은 의외의 걸그룹? 미국까지 씹어먹는 한류열풍 근황!,https://youtube.com/watch?v=AWts6VQMfvE&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,7.2만회,4주 전
25,"블랙핑크 베트남 공연 정상개최되자 베트남은 웃고 중국은 우는 현상황…""역시 블랙핑크의 위력은 대단하네요..!""",https://youtube.com/watch?v=DQnI5XnvdBg&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,2.7만회,2주 전
26,"블랙핑크(BLACKPINK), 여신들 입장하실게요~ 세계를 누비는 블핑이들(출국)✈️SGBAC Airport Departure 2023.7.28 #Newsen",https://youtube.com/watch?v=5aopyuVg1uA&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,8.8만회,2주 전
27,블랙핑크의 엄청난 팬인 프랑스 초등학생! 동네 옷 가게에서 블랙핑크 티셔츠도 사서 입고 다니네요.#국제가족#프랑스일상#블랙핑크해외팬,https://youtube.com/watch?v=tBzEtUk9WHw&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,1.1만회,1개월 전
28,블랙핑크 - 7주년,https://youtube.com/watch?v=9c87NbLjH0I&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,528만회,6일 전
29,[4K] 블랙핑크 지수가 요즘 가장 많이 듣는 말 : 너 T야...?💦 코첼라 후기부터 화보 비하인드까지🌹 #지수 의 이모지 인터뷰🐰 | ELLE KOREA,https://youtube.com/watch?v=1u8oeahwF0Y&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,64만회,3주 전
30,"[투머치토커] ""지수가 해냈다!""  🖤블랙핑크 최초, 공개열애🖤 '연인' 안보현도 떡상 중?  | EP.18-2",https://youtube.com/watch?v=Ayyus3mQPAg&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,3.7천회,10일 전
31,[ENG/THAI/JP] 리사의 보부상 백👜 안엔 어떤 아이템이? 더블유가 탈탈 털어봤습니다😎 by W Korea,https://youtube.com/watch?v=LddZ38_LMuM&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,88만회,2주 전
32,"리사(블랙핑크), ""아우라가 럭셔리 그 자체"" l LISA(BLACKPINK), ""The aura itself is luxurious"" [현장]",https://youtube.com/watch?v=VkVMkCkPwl4&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,19만회,1개월 전
33,블랙핑크 베트남 콘서트 진짜 미쳤다 4만명이 떼창하는 블랙핑크 클라스?!,https://youtube.com/watch?v=yOkroroceIE&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,1만회,2주 전
34,"현재 열애설 난 블랙핑크 지수, 안보현...결혼설 나오고있는 이유",https://youtube.com/watch?v=FNUjrBSLSYg&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,1.6만회,11일 전
35,[블랙핑크]BLACKPINK - 'Shutdown' Live at Kyocera Dome Osaka Japan Tour 2023,https://youtube.com/watch?v=vfu0x2WyRjE&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,17만회,1개월 전
36,(ENG+)🦉: 블랙핑크 지수한테 두 번 고백 받고 사귄 썰 푼다 [시즌5 EP.13],https://youtube.com/watch?v=Ebr-LZ_OVbc&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,78만회,1개월 전
37,프랑스 시골 학교에 블랙 핑크 노래를 틀었을 때 폭발적인 반응! #shorts,https://youtube.com/watch?v=B083yevLWMc&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,4.2천회,4주 전
38,"블랙핑크 [BLACKPINK], 앞날이 더욱 기다려진다는 세계 최고의 걸그룹, 재계약 상황 정리(ENG, AR, CHN)",https://youtube.com/watch?v=kQ-Ug65tUhU&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,3.6만회,6일 전
39,논란 터진 블랙핑크 로제,https://youtube.com/shorts/7OgysArQI0E,2.5만회,2주 전
